run,db,llm,embedding_model,chunk_size,chunk_overlap,memory_rss,memory_vms,memory_peak_wset
1,redis,mistral,nomic-embed-text,200,0,1.855488,-0.077824,2.977792
2,chroma,mistral,nomic-embed-text,200,0,1.49504,1.400832,1.122304
3,milvus,mistral,nomic-embed-text,200,0,-0.212992,-0.352256,0.966656
4,redis,mistral,all-MiniLM-L6-v2,200,0,94.14656,153.06752,104.759296
5,chroma,mistral,all-MiniLM-L6-v2,200,0,61.21472,98.422784,58.1632
6,milvus,mistral,all-MiniLM-L6-v2,200,0,60.198912,97.288192,63.71328
7,redis,mistral,all-mpnet-base-v2,200,0,400.101376,501.997568,391.299072
8,chroma,mistral,all-mpnet-base-v2,200,0,2.49856,2.244608,0.417792
9,milvus,mistral,all-mpnet-base-v2,200,0,363.446272,445.513728,363.061248
10,redis,llama3.2,nomic-embed-text,200,0,-1.37216,-0.315392,0.856064
11,chroma,llama3.2,nomic-embed-text,200,0,2.056192,2.060288,0.0
12,milvus,llama3.2,nomic-embed-text,200,0,0.188416,0.208896,0.98304
13,redis,llama3.2,all-MiniLM-L6-v2,200,0,30.896128,66.060288,52.457472
14,chroma,llama3.2,all-MiniLM-L6-v2,200,0,58.028032,99.147776,46.7968
15,milvus,llama3.2,all-MiniLM-L6-v2,200,0,51.79392,96.804864,51.38432
16,redis,llama3.2,all-mpnet-base-v2,200,0,390.98368,474.124288,380.616704
17,chroma,llama3.2,all-mpnet-base-v2,200,0,2.371584,3.362816,1.708032
18,milvus,llama3.2,all-mpnet-base-v2,200,0,362.7008,443.437056,363.95008
19,redis,mistral,nomic-embed-text,200,50,0.172032,0.18432,0.151552
20,chroma,mistral,nomic-embed-text,200,50,1.855488,1.847296,0.741376
21,milvus,mistral,nomic-embed-text,200,50,0.212992,0.192512,1.200128
22,redis,mistral,all-MiniLM-L6-v2,200,50,30.367744,67.661824,43.454464
23,chroma,mistral,all-MiniLM-L6-v2,200,50,60.596224,97.93536,56.004608
24,milvus,mistral,all-MiniLM-L6-v2,200,50,60.010496,96.93184,63.156224
25,redis,mistral,all-mpnet-base-v2,200,50,391.671808,475.574272,379.61728
26,chroma,mistral,all-mpnet-base-v2,200,50,2.076672,2.1504,1.98656
27,milvus,mistral,all-mpnet-base-v2,200,50,-1980.366848,-2644.979712,0.0
28,redis,llama3.2,nomic-embed-text,200,50,-0.585728,-0.626688,0.0
29,chroma,llama3.2,nomic-embed-text,200,50,1.900544,1.937408,0.0
30,milvus,llama3.2,nomic-embed-text,200,50,0.540672,0.557056,0.0
31,redis,llama3.2,all-MiniLM-L6-v2,200,50,29.40928,66.043904,0.0
32,chroma,llama3.2,all-MiniLM-L6-v2,200,50,1.519616,1.57696,0.0
33,milvus,llama3.2,all-MiniLM-L6-v2,200,50,59.334656,96.956416,0.0
34,redis,llama3.2,all-mpnet-base-v2,200,50,391.180288,473.485312,0.0
35,chroma,llama3.2,all-mpnet-base-v2,200,50,1.400832,1.544192,0.0
36,milvus,llama3.2,all-mpnet-base-v2,200,50,362.360832,443.613184,0.0
37,redis,mistral,nomic-embed-text,200,100,0.045056,0.028672,0.0
38,chroma,mistral,nomic-embed-text,200,100,1.80224,1.82272,0.0
39,milvus,mistral,nomic-embed-text,200,100,0.405504,0.421888,0.0
40,redis,mistral,all-MiniLM-L6-v2,200,100,29.67552,67.182592,0.0
41,chroma,mistral,all-MiniLM-L6-v2,200,100,60.760064,98.422784,0.0
42,milvus,mistral,all-MiniLM-L6-v2,200,100,58.331136,95.993856,0.0
43,redis,mistral,all-mpnet-base-v2,200,100,392.347648,475.389952,0.0
44,chroma,mistral,all-mpnet-base-v2,200,100,1.757184,2.117632,0.0
45,milvus,mistral,all-mpnet-base-v2,200,100,362.717184,443.31008,0.0
46,redis,llama3.2,nomic-embed-text,200,100,0.323584,0.3072,0.0
47,chroma,llama3.2,nomic-embed-text,200,100,1.458176,1.470464,0.0
48,milvus,llama3.2,nomic-embed-text,200,100,-0.36864,-0.380928,0.0
49,redis,llama3.2,all-MiniLM-L6-v2,200,100,29.863936,66.850816,0.0
50,chroma,llama3.2,all-MiniLM-L6-v2,200,100,1.634304,1.605632,0.0
51,milvus,llama3.2,all-MiniLM-L6-v2,200,100,59.240448,96.903168,0.0
52,redis,llama3.2,all-mpnet-base-v2,200,100,332.849152,377.2416,200.822784
53,chroma,llama3.2,all-mpnet-base-v2,200,100,365.826048,447.901696,364.580864
54,milvus,llama3.2,all-mpnet-base-v2,200,100,362.217472,442.863616,364.027904
55,redis,mistral,nomic-embed-text,500,0,0.2048,0.200704,0.856064
56,chroma,mistral,nomic-embed-text,500,0,1.76128,1.773568,0.663552
57,milvus,mistral,nomic-embed-text,500,0,-0.151552,-0.135168,1.499136
58,redis,mistral,all-MiniLM-L6-v2,500,0,29.437952,67.964928,59.55584
59,chroma,mistral,all-MiniLM-L6-v2,500,0,1.646592,1.622016,0.0
60,milvus,mistral,all-MiniLM-L6-v2,500,0,59.559936,96.477184,44.6464
61,redis,mistral,all-mpnet-base-v2,500,0,332.701696,378.302464,320.090112
62,chroma,mistral,all-mpnet-base-v2,500,0,364.838912,446.902272,363.39712
63,milvus,mistral,all-mpnet-base-v2,500,0,363.347968,445.087744,364.048384
64,redis,llama3.2,nomic-embed-text,500,0,0.43008,0.417792,0.0
65,chroma,llama3.2,nomic-embed-text,500,0,1.736704,1.765376,1.032192
66,milvus,llama3.2,nomic-embed-text,500,0,0.249856,0.26624,1.384448
67,redis,llama3.2,all-MiniLM-L6-v2,500,0,30.384128,66.39616,58.92096
68,chroma,llama3.2,all-MiniLM-L6-v2,500,0,1.675264,1.196032,0.0
69,milvus,llama3.2,all-MiniLM-L6-v2,500,0,59.37152,97.026048,45.73184
70,redis,llama3.2,all-mpnet-base-v2,500,0,332.193792,378.118144,318.40256
71,chroma,llama3.2,all-mpnet-base-v2,500,0,364.81024,446.697472,365.019136
72,milvus,llama3.2,all-mpnet-base-v2,500,0,363.27424,444.973056,363.388928
73,redis,mistral,nomic-embed-text,500,50,-362.950656,-444.391424,0.0
74,chroma,mistral,nomic-embed-text,500,50,1.568768,1.601536,0.0
75,milvus,mistral,nomic-embed-text,500,50,0.311296,0.28672,0.0
76,redis,mistral,all-MiniLM-L6-v2,500,50,29.876224,65.98656,0.0
77,chroma,mistral,all-MiniLM-L6-v2,500,50,2.236416,1.507328,0.0
78,milvus,mistral,all-MiniLM-L6-v2,500,50,59.396096,97.03424,0.0
79,redis,mistral,all-mpnet-base-v2,500,50,331.464704,376.655872,62.537728
80,chroma,mistral,all-mpnet-base-v2,500,50,365.170688,447.352832,364.969984
81,milvus,mistral,all-mpnet-base-v2,500,50,363.270144,443.98592,363.937792
82,redis,llama3.2,nomic-embed-text,500,50,0.479232,0.462848,0.0
83,chroma,llama3.2,nomic-embed-text,500,50,1.175552,1.18784,0.36864
84,milvus,llama3.2,nomic-embed-text,500,50,-6334.5664,-7976.67328,1.417216
85,redis,llama3.2,all-MiniLM-L6-v2,500,50,29.724672,66.490368,0.0
86,chroma,llama3.2,all-MiniLM-L6-v2,500,50,59.523072,97.173504,0.0
87,milvus,llama3.2,all-MiniLM-L6-v2,500,50,58.691584,96.309248,0.0
88,redis,llama3.2,all-mpnet-base-v2,500,50,390.889472,473.767936,0.0
89,chroma,llama3.2,all-mpnet-base-v2,500,50,2.482176,2.760704,0.0
90,milvus,llama3.2,all-mpnet-base-v2,500,50,362.594304,443.813888,0.0
91,redis,mistral,nomic-embed-text,500,100,0.466944,0.43008,0.0
92,chroma,mistral,nomic-embed-text,500,100,1.380352,1.404928,0.0
93,milvus,mistral,nomic-embed-text,500,100,0.344064,0.34816,0.0
94,redis,mistral,all-MiniLM-L6-v2,500,100,29.622272,65.736704,0.0
95,chroma,mistral,all-MiniLM-L6-v2,500,100,55.54176,98.209792,0.0
96,milvus,mistral,all-MiniLM-L6-v2,500,100,59.015168,96.653312,0.0
97,redis,mistral,all-mpnet-base-v2,500,100,390.852608,473.604096,0.0
98,chroma,mistral,all-mpnet-base-v2,500,100,1.818624,1.90464,0.0
99,milvus,mistral,all-mpnet-base-v2,500,100,362.266624,443.580416,0.0
100,redis,llama3.2,nomic-embed-text,500,100,0.569344,0.55296,0.0
101,chroma,llama3.2,nomic-embed-text,500,100,1.67936,1.708032,0.0
102,milvus,llama3.2,nomic-embed-text,500,100,-0.34816,-0.34816,0.0
103,redis,llama3.2,all-MiniLM-L6-v2,500,100,29.732864,65.90464,0.0
104,chroma,llama3.2,all-MiniLM-L6-v2,500,100,2.031616,2.031616,0.0
105,milvus,llama3.2,all-MiniLM-L6-v2,500,100,58.585088,96.145408,0.0
106,redis,llama3.2,all-mpnet-base-v2,500,100,332.242944,377.081856,0.0
107,chroma,llama3.2,all-mpnet-base-v2,500,100,365.367296,446.85312,0.0
108,milvus,llama3.2,all-mpnet-base-v2,500,100,362.831872,444.178432,0.0
109,redis,mistral,nomic-embed-text,1000,0,-362.934272,-444.379136,0.0
110,chroma,mistral,nomic-embed-text,1000,0,1.314816,1.355776,0.0
111,milvus,mistral,nomic-embed-text,1000,0,-68.091904,0.02048,0.0
112,redis,mistral,all-MiniLM-L6-v2,1000,0,29.229056,65.785856,0.0
113,chroma,mistral,all-MiniLM-L6-v2,1000,0,2.093056,2.17088,0.0
114,milvus,mistral,all-MiniLM-L6-v2,1000,0,58.462208,96.055296,0.0
115,redis,mistral,all-mpnet-base-v2,1000,0,331.849728,377.061376,0.0
116,chroma,mistral,all-mpnet-base-v2,1000,0,365.1584,446.660608,0.0
117,milvus,mistral,all-mpnet-base-v2,1000,0,363.106304,444.45696,0.0
118,redis,llama3.2,nomic-embed-text,1000,0,-363.13088,-444.583936,0.0
119,chroma,llama3.2,nomic-embed-text,1000,0,1.683456,1.941504,0.0
120,milvus,llama3.2,nomic-embed-text,1000,0,0.057344,0.016384,0.0
121,redis,llama3.2,all-MiniLM-L6-v2,1000,0,30.584832,66.576384,0.0
122,chroma,llama3.2,all-MiniLM-L6-v2,1000,0,60.059648,97.6896,0.0
123,milvus,llama3.2,all-MiniLM-L6-v2,1000,0,59.305984,96.964608,0.0
124,redis,llama3.2,all-mpnet-base-v2,1000,0,390.766592,473.575424,0.0
125,chroma,llama3.2,all-mpnet-base-v2,1000,0,2.207744,2.306048,0.0
126,milvus,llama3.2,all-mpnet-base-v2,1000,0,362.795008,444.125184,0.0
127,redis,mistral,nomic-embed-text,1000,50,-0.475136,-0.520192,0.0
128,chroma,mistral,nomic-embed-text,1000,50,-29.298688,1.712128,0.0
129,milvus,mistral,nomic-embed-text,1000,50,-0.045056,-0.024576,0.0
130,redis,mistral,all-MiniLM-L6-v2,1000,50,29.954048,66.072576,0.0
131,chroma,mistral,all-MiniLM-L6-v2,1000,50,61.1328,98.77504,0.0
132,milvus,mistral,all-MiniLM-L6-v2,1000,50,58.994688,96.559104,0.0
133,redis,mistral,all-mpnet-base-v2,1000,50,391.081984,474.525696,0.0
134,chroma,mistral,all-mpnet-base-v2,1000,50,1.523712,1.57696,0.0
135,milvus,mistral,all-mpnet-base-v2,1000,50,363.831296,445.612032,0.0
136,redis,llama3.2,nomic-embed-text,1000,50,0.131072,0.094208,0.0
137,chroma,llama3.2,nomic-embed-text,1000,50,1.818624,1.880064,0.0
138,milvus,llama3.2,nomic-embed-text,1000,50,-0.782336,-0.843776,0.0
139,redis,llama3.2,all-MiniLM-L6-v2,1000,50,31.371264,67.104768,0.0
140,chroma,llama3.2,all-MiniLM-L6-v2,1000,50,1.798144,1.785856,0.0
141,milvus,llama3.2,all-MiniLM-L6-v2,1000,50,59.260928,96.530432,0.0
142,redis,llama3.2,all-mpnet-base-v2,1000,50,332.599296,378.208256,0.0
143,chroma,llama3.2,all-mpnet-base-v2,1000,50,-5235.24096,-6776.049664,0.0
144,milvus,llama3.2,all-mpnet-base-v2,1000,50,348.434432,444.317696,0.0
145,redis,mistral,nomic-embed-text,1000,100,-0.495616,-0.544768,0.0
146,chroma,mistral,nomic-embed-text,1000,100,1.589248,1.601536,0.0
147,milvus,mistral,nomic-embed-text,1000,100,-0.319488,-0.319488,0.0
148,redis,mistral,all-MiniLM-L6-v2,1000,100,29.966336,66.105344,0.0
149,chroma,mistral,all-MiniLM-L6-v2,1000,100,1.527808,1.548288,0.0
150,milvus,mistral,all-MiniLM-L6-v2,1000,100,59.12576,96.763904,0.0
151,redis,mistral,all-mpnet-base-v2,1000,100,331.767808,376.901632,0.0
152,chroma,mistral,all-mpnet-base-v2,1000,100,364.46208,445.976576,0.0
153,milvus,mistral,all-mpnet-base-v2,1000,100,363.343872,444.66176,0.0
154,redis,llama3.2,nomic-embed-text,1000,100,-0.057344,-0.1024,0.0
155,chroma,llama3.2,nomic-embed-text,1000,100,1.789952,1.847296,0.0
156,milvus,llama3.2,nomic-embed-text,1000,100,-0.802816,-0.864256,0.0
157,redis,llama3.2,all-MiniLM-L6-v2,1000,100,30.666752,66.813952,0.0
158,chroma,llama3.2,all-MiniLM-L6-v2,1000,100,1.847296,1.851392,0.0
159,milvus,llama3.2,all-MiniLM-L6-v2,1000,100,58.81856,96.432128,0.0
160,redis,llama3.2,all-mpnet-base-v2,1000,100,332.365824,377.58976,0.0
161,chroma,llama3.2,all-mpnet-base-v2,1000,100,358.445056,446.255104,0.0
162,milvus,llama3.2,all-mpnet-base-v2,1000,100,362.831872,444.186624,0.0